location,id,Latitude,Longitude
Albury,2002,-36.08078,146.916473
BadgerysCreek,2005,-33.924095,150.775421
Cobar,2029,-31.49928,145.838654
CoffsHarbour,2030,-30.29626,153.114084
Moree,2084,-29.463324,149.841862
Newcastle,2098,-32.92669,151.778921
NorahHead,2099,-33.2815,151.578033
NorfolkIsland,2100,-29.042831,167.954712
Penrith,2111,-33.751523,150.69556
Richmond,2119,-33.596508,150.751167
Sydney,2124,-33.86882,151.209296
SydneyAirport,2125,-33.939923,151.175276
WaggaWagga,2139,-35.115987,147.367726
Williamtown,2145,-32.794051,151.83782
Wollongong,2146,-34.427812,150.893061
Canberra,2801,-35.280937,149.130009
Tuggeranong,2802,-35.424942,149.069548
MountGinini,2804,-35.529539,148.772553
Ballarat,3005,-37.562157,143.850255
Bendigo,3008,-36.758177,144.280244
Sale,3021,-38.104523,147.066847
MelbourneAirport,3049,-37.673333,144.843333
Melbourne,3033,-37.813611,144.963056
Mildura,3051,-34.208206,142.127244
Nhil,3059,-36.333333,141.65
Portland,3068,-38.371468,141.604561
Watsonia,3079,-37.716667,145.083333
Dartmoor,3101,-37.917119,141.271727
Brisbane,4019,-27.46977,153.025123
Cairns,4024,-16.920334,145.771977
GoldCoast,4050,-28.016667,153.4
Townsville,4128,-19.258965,146.816956
Adelaide,5081,-34.928499,138.600746
MountGambier,5041,-37.831341,140.780204
Nuriootpa,5049,-34.468715,138.99594
Woomera,5072,-31.1987,136.824997
Albany,6001,-35.025627,117.883767
Witchcliffe,6081,-34.011831,115.138237
PearceRAAF,6108,-31.667918,116.015151
PerthAirport,6110,-31.940278,115.967222
Perth,6111,-31.950527,115.860457
SalmonGums,6119,-32.9,121.633333
Walpole,6138,-34.978431,116.733437
Hobart,7021,-42.882138,147.327194
Launceston,7025,-41.440093,147.134667
AliceSprings,8002,-23.698042,133.880747
Darwin,8014,-12.46344,130.845642
Katherine,8024,-14.461133,132.263489
Uluru,8056,-25.344428,131.036882
